,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.616329083368,0.530718245769,0.634707177106,0.522803300413,0.385534388118,0.495084498518,0.33009068563,0.624778503375,0.549693365892,0.521904244166
1-SPFN,0.565453300852,0.472552883455,0.592080678549,0.462923675389,0.337180413844,0.42896472439,0.267474654565,0.59185128871,0.494382135493,0.451677078748
SP-Score,0.59089119211,0.501635564612,0.613393927828,0.492863487901,0.361357400981,0.462024611454,0.298782670097,0.608314896043,0.522037750692,0.486790661457
TC,0.07317073170731707,0.07053140096618357,0.09251968503937008,0.026732673267326732,0.03182256509161042,0.04232283464566929,0.0407149950347567,0.007897334649555774,0.0263671875,0.057337220602526724
Modeler,0.6163290833680791,0.530718245768549,0.634707177105886,0.5228033004127415,0.3855343881175331,0.49508449851797826,0.33009068563010446,0.6247785033752712,0.5496933658918486,0.5219042441657282
Compression,1.2156166814551908,1.2671480144404332,1.254496402877698,1.2941176470588236,1.3125548726953469,1.3363471971066907,1.470856102003643,1.1727605118829982,1.3740875912408759,1.278673835125448
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,1370,1404,1395,1430,1495,1478,1615,1283,1506,1427
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
