,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.42658024827,0.417002945566,0.559089468484,0.317861173219,0.189067018045,0.389999719003,0.154923337611,0.399335790195,0.510316108272,0.357444298985
1-SPFN,0.325753152536,0.353933751575,0.503888082372,0.252851960313,0.138925215579,0.326583435859,0.114705424836,0.313478474404,0.433898305085,0.287195324813
SP-Score,0.376166700403,0.385468348571,0.531488775428,0.285356566766,0.163996116812,0.358291577431,0.134814381224,0.3564071323,0.472107206678,0.322319811899
TC,0.0624390243902439,0.0,0.0,0.0,0.0,0.003937007874015748,0.0,0.0,0.0,0.0
Modeler,0.4265802482698012,0.41700294556625156,0.5590894684837525,0.3178611732185953,0.1890670180447275,0.3899997190030227,0.1549233376113854,0.3993357901954062,0.5103161082718153,0.3574442989848968
Compression,1.5820763087843832,1.4223826714801444,1.341726618705036,1.5846153846153845,1.694468832309043,1.5162748643761301,1.7377049180327868,1.6480804387568555,1.4543795620437956,1.4874551971326164
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,1783,1576,1492,1751,1930,1677,1908,1803,1594,1660
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
