,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.193444248891,0.165678126002,0.165969063191,0.111697656595,0.220051054547,0.123794531008,0.112919032108,0.0723497218404,0.218188944972,0.135241968524
1-SPFN,0.169469932672,0.156159692637,0.150673586483,0.108799875037,0.194603158456,0.113564233809,0.10512678859,0.0668141047298,0.199061059864,0.113445092941
SP-Score,0.181457090782,0.160918909319,0.158321324837,0.110248765816,0.207327106501,0.118679382408,0.109022910349,0.0695819132851,0.208625002418,0.124343530732
TC,0.008605851979345954,0.007518796992481203,0.005977796754910333,0.003961965134706815,0.010273972602739725,0.006042296072507553,0.010699588477366255,0.007662835249042145,0.008210180623973728,0.001467351430667645
Modeler,0.19344424889131087,0.16567812600197193,0.16596906319105262,0.11169765659493998,0.22005105454678778,0.12379453100779016,0.1129190321082614,0.07234972184039763,0.21818894497211905,0.13524196852413992
Compression,1.2082392776523703,1.1224358974358974,1.1460859977949283,0.9346478873239437,1.380281690140845,1.1181667586968527,1.1090442591404746,1.3711764705882352,1.3148479427549196,1.3004410143329659
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,2141,1751,2079,1659,2058,2025,1729,2331,2205,2359
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
