,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.247747714323,0.183320414107,0.186368191068,0.123884029069,0.295857506366,0.128976151896,0.200719006312,0.104128263865,0.204285945854,0.167360017583
1-SPFN,0.243558709112,0.179684498089,0.183014664708,0.121685707012,0.290851770559,0.127300841004,0.196666716035,0.102662005592,0.201863016961,0.164657362083
SP-Score,0.245653211717,0.181502456098,0.184691427888,0.12278486804,0.293354638462,0.12813849645,0.198692861173,0.103395134729,0.203074481408,0.166008689833
TC,0.0034423407917383822,8.35421888053467E-4,8.539709649871904E-4,0.001584786053882726,0.00684931506849315,7.552870090634441E-4,0.0024691358024691358,7.662835249042146E-4,0.0,0.00880410858400587
Modeler,0.24774771432269832,0.18332041410684471,0.18636819106845862,0.12388402906914786,0.29585750636551933,0.12897615189606365,0.20071900631190803,0.10412826386527552,0.2042859458543376,0.16736001758320573
Compression,1.072234762979684,1.205128205128205,1.0286659316427784,1.116056338028169,1.2032193158953723,1.0132523467697405,1.1969211032713278,1.2158823529411764,1.1550387596899225,1.0644983461962514
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,1900,1880,1866,1981,1794,1835,1866,2067,1937,1931
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
