,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.0458086949056,0.206752653719,0.0621681831602,0.177449535183,0.258188594171,0.0583905506011,0.148291980215,0.0629288668364,0.103465972896,0.141881513455
1-SPFN,0.028644959534,0.145047800761,0.0389423917576,0.120053727334,0.188211461191,0.0373755607344,0.0986870112326,0.0410842077941,0.0684048389318,0.0980526526184
SP-Score,0.0372268272198,0.17590022724,0.0505552874589,0.148751631258,0.223200027681,0.0478830556678,0.123489495724,0.0520065373152,0.085935405914,0.119967083037
TC,0.0028169014084507044,0.01556420233463035,0.001890359168241966,0.0,0.0018604651162790699,0.0,0.022944550669216062,0.0,0.0,0.0
Modeler,0.0458086949056138,0.20675265371904394,0.062168183160211506,0.17744953518267595,0.25818859417055834,0.05839055060111015,0.14829198021497578,0.06292886683636326,0.10346597289620374,0.14188151345465858
Compression,1.8555555555555556,1.7450812660393498,1.8456,1.615327380952381,1.6092136616362192,1.697172619047619,1.852417302798982,1.867313915857605,1.708398133748056,1.7084337349397591
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,2338,2040,2307,2171,2026,2281,2184,2308,2197,2127
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
