,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.0135125977958,0.0222631134705,0.0128976819942,0.0151299517079,0.0212959212241,0.0236819598979,0.0193862033554,0.0319733190197,0.0136376968077,0.0243070367385
1-SPFN,0.00692890249875,0.0117037363456,0.00632282282129,0.00792906956689,0.0110578481892,0.0115001400277,0.00962433729607,0.0158776144571,0.00642912180003,0.0128895696615
SP-Score,0.0102207501473,0.0169834249081,0.00961025240772,0.0115295106374,0.0161768847066,0.0175910499628,0.0145052703257,0.0239254667384,0.0100334093039,0.0185983032
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.013512597795836492,0.02226311347049995,0.012897681994153826,0.015129951707882951,0.021295921224055065,0.023681959897873195,0.019386203355408534,0.031973319019689986,0.013637696807706537,0.02430703673854289
Compression,3.0213414634146343,3.013909224011713,3.101503759398496,3.3257514216084485,2.972754050073638,2.906122448979592,3.0970031545741326,2.792494481236203,3.0123934934159564,3.056835637480799
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,3964,4117,4125,4094,4037,3560,3927,3795,3889,3980
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
