,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.20021084491,0.149075662411,0.212244301379,0.268708291993,0.179220128851,0.178130875951,0.293954495767,0.133634568575,0.187619845986,0.191605487679
1-SPFN,0.196870036282,0.147819227018,0.209122329915,0.264422658972,0.176306504227,0.17580852259,0.289556581059,0.133359695353,0.184824109179,0.189369303731
SP-Score,0.198540440596,0.148447444715,0.210683315647,0.266565475483,0.177763316539,0.176969699271,0.291755538413,0.133497131964,0.186221977582,0.190487395705
TC,9.643201542912247E-4,0.0,9.25925925925926E-4,0.0019175455417066154,0.001813236627379873,9.372071227741331E-4,0.0019267822736030828,8.888888888888889E-4,0.0,0.009927797833935019
Modeler,0.20021084490996582,0.14907566241116657,0.21224430137936193,0.26870829199342183,0.1792201288506307,0.17813087595073943,0.29395449576665333,0.1336345685754148,0.18761984598624126,0.1916054876790986
Compression,1.0939420544337137,1.0007980845969673,1.036613272311213,1.0461409395973154,1.0165876777251184,1.0855481727574752,1.071551724137931,0.9888971132494448,1.0162074554294975,1.0205696202531647
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,1246,1254,1359,1247,1287,1307,1243,1336,1254,1290
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
