,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.0418067445016,0.0645223996112,0.0545248828146,0.0566993729784,0.0806585184762,0.123368971973,0.0476743291792,0.108141733329,0.0867756777596,0.0650547255703
1-SPFN,0.0390476349713,0.0596629396747,0.0508396240949,0.0524578872401,0.0752146994208,0.114129417115,0.0435326377742,0.102825166646,0.0801421569611,0.0596539542594
SP-Score,0.0404271897365,0.0620926696429,0.0526822534548,0.0545786301093,0.0779366089485,0.118749194544,0.0456034834767,0.105483449987,0.0834589173604,0.0623543399149
TC,0.0,9.302325581395349E-4,0.001851851851851852,0.0019175455417066154,0.0,0.0,0.004816955684007707,0.014222222222222223,0.011472275334608031,9.025270758122744E-4
Modeler,0.04180674450160933,0.06452239961122411,0.054524882814604624,0.05669937297844275,0.08065851847621223,0.12336897197342644,0.04767432917919439,0.10814173332913962,0.08677567775963742,0.0650547255703086
Compression,1.4187884108867428,1.3631284916201116,1.215865751334859,1.4429530201342282,1.330173775671406,1.3737541528239203,1.4448275862068964,1.1369356032568467,1.3014586709886549,1.4549050632911393
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,1616,1708,1594,1720,1684,1654,1676,1536,1606,1839
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
