,RNASimBigR07,RNASimBigR01,RNASimBigR10,RNASimBigR05,RNASimBigR03,RNASimBigR02,RNASimBigR09,RNASimBigR08,RNASimBigR04,RNASimBigR06
1-SPFP,0.995374058719,0.996877190721,0.995686680744,0.995094804809,0.99569545204,0.991262948121,0.99442565729,0.994569336129,0.992571087331,0.994872788586
1-SPFN,0.994981633745,0.996079891027,0.995502115496,0.993831768086,0.995588168137,0.990514879652,0.994028939284,0.993143566342,0.991301773273,0.994646743848
SP-Score,0.995177846232,0.996478540874,0.99559439812,0.994463286447,0.995641810089,0.990888913887,0.994227298287,0.993856451236,0.991936430302,0.994759766217
TC,0.8380143696930111,0.8617992177314211,0.7871512005191434,0.8272962483829237,0.8265635074145713,0.7810077519379846,0.8230719377835386,0.8293316028552887,0.8201160541586073,0.8168284789644013
Modeler,0.9953740587185826,0.9968771907208788,0.9956866807442527,0.9950948048086272,0.9956954520404174,0.9912629481209749,0.9944256572895702,0.9945693361291037,0.9925710873309127,0.9948727885864782
Compression,1.0136807817589577,1.0188067444876783,1.005736137667304,1.0147530468248878,1.0037974683544304,1.0203951561504143,1.0089342693044032,1.0199871050934881,1.0175438596491229,1.010223642172524
Average Pairwise P-Distance,0.172505113783,0.181861782112,0.198544792506,0.186246751738,0.193002596348,0.201270884476,0.192995230883,0.17925536718,0.218580347531,0.194372350247
Maximum Pairwise P-Distance,0.239576439444,0.256073539068,0.371352785146,0.355115511551,0.261467889908,0.368666666667,0.3575677462,0.33488372093,0.372926343729,0.34234828496
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1535,1542,1569,1559,1580,1569,1567,1551,1596,1565
Estimated Length,1556,1571,1578,1582,1586,1601,1581,1582,1624,1581
Maximum Ungapped Length,1526,1534,1532,1538,1539,1529,1531,1527,1532,1539
Sequence Length Heterogeneity,0.00155027299442,0.00214723001321,0.00141682657556,0.00250329956637,0.0015032035131,0.0021211624484,0.00172479045293,0.00157669278277,0.00206180907368,0.00193440356999
Gappiness Percentage,0.0088990228013,0.0095784695201,0.0263288718929,0.0188710711995,0.029082278481,0.0299298916507,0.0288704530951,0.0188072211476,0.0446428571429,0.0203130990415
Average Gap Length,1.00886262925,1.0475177305,1.01874229346,1.00926243568,1.01434878587,1.00837449002,1.02794819359,1.00516884907,1.02048123747,1.01242038217
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
